Read,קרא
Delete this record to allow sending to this email address,מחק רשומה זו כדי לאפשר שליחה לכתובת הדואר האלקטרוני הזו
Print Width,רוחב הדפסה
Event,אירוע
Restrict user from this IP address only. Multiple IP addresses can be added by separating with commas. Also accepts partial IP addresses like (111.111.111),הגבל את המשתמש מכתובת ה- IP הזו בלבד. ניתן להוסיף כתובות IP מרובות על ידי הפרדה בפסיקים. כמו כן קבל כתובות IP חלקיות כמו (111.111.111)
Reference: {0} {1},התייחסות: {0} {1}
Message,הודעה
Js,Js
Based On,המבוסס על
Javascript to append to the head section of the page.,Javascript להוספה למקטע בראש הדף.
Yesterday,אתמול
list-alt,סמליל רשימה
Administrator Logged In,המנהל מחובר
font,גופן
No permission to read {0},אין הרשאות לקרוא את {0}
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},פורמט JavaScript: frappe.query_reports ['REPORTTYPE'] = {}
No permission for {0},אין הרשאה עבור {0}
Helvetica,Helvetica
Scheduled to send to {0} recipients,מתוכנן לשלוח ל-{0} נמענים
All,כולם
There should remain at least one System Manager,צריך להישאר מנהל מערכת אחד לפחות
"Language, Date and Time settings","הגדרות שפה, תאריך ושעה"
Team Members,חברי צוות
Please save the document before removing assignment,אנא שמור את המסמך לפני הסרת משימה
{0} not a valid State,{0} הוא אינו מצב חוקי
Attach,צרף
Email not sent to {0} (unsubscribed / disabled),ההודעה לא נשלחה ל-{0} (לא מנוי / חסום)
More content for the bottom of the page.,תוכן נוסף בתחתית הדף.
Web Form Fields,שדות הטופס האינטרנטי
globe,גלובוס
Option 2,אפשרות 2
Parent Error Snapshot,תמונת מצב של שגיאת המקור
Tree,עֵץ
Paste,הדבק
Your email address,כתובת הדואר האלקטרוני שלך
Dear,יקר
hand-left,העבר שמאלה
Print Style Preview,הדפס תצוגה מקדימה של הסגנון
Calculate,חשב
Repeat Header and Footer in PDF,חזור על כותרת עליונה ותחתונה ב- PDF
Create a new {0},צור {0} חדש
Defines actions on states and the next step and allowed roles.,"מגדיר פעולות במצבים, השלב הבא ותפקידים מותרים."
Deleted,נמחק
Not Sent,לא נשלח
Build Report,בנה דוח
Reference Owner,הפנה לבעלים
Notify if unreplied,עדכן אם לא התקבלה תגובה
Models (building blocks) of the Application,מודלים (אבני הבניין) של היישום
Level,רמה
info-sign,סימן מידע
Reference Document,מסמך ההפניה
Introduction,מבוא
circle-arrow-right,מעגל עם חץ ימינה
Relapses,שגיאות חוזרות
Mandatory,חובה
Token is missing,מפתח חסר
Personal,אישי
Sorry! User should have complete access to their own record.,מצטערים! צריכה להיות למשתמשים גישה מלאה לרשומות שלהם.
Report Type,סוג הדוח
Same file has already been attached to the record,אותו קובץ כבר צורף לרשומה
Role Permissions Manager,מנהל הרשאות התפקידים
Image field must be of type Attach Image,שדה תמונה חייב להיות מסוג צרף תמונה
With Letterhead,עם נייר מכתבים
List of themes for Website.,רשימה של נושאים לאתר.
"Allowing DocType, DocType. Be careful!","מאפשר DOCTYPE, DOCTYPE. היזהר!"
Write a SELECT query. Note result is not paged (all data is sent in one go).,כתוב שאילתה SELECT. שים לב כי התוצאה לא מחולקת לעמודים (כל הנתונים נשלחים בפעם אחת).
From Full Name,משם מלא
Stores the JSON of last known versions of various installed apps. It is used to show release notes.,מאחסן את ה-JSON של הגרסאות האחרונות הידועות של יישומים מותקנים שונים. הוא משמש כדי להראות הערות הפצה.
Force Show,אלץ הצגה
Sent,נשלח
In Hours,בשעות
{0} shared this document with everyone,{0} שיתף מסמך זה עם כולם
Cannot connect: {0},לא ניתן להתחבר: {0}
Client,לקוח
{0} in row {1} cannot have both URL and child items,{0} בשורה {1} לא יכול להיות עם שתי כתובות ותת-פריטים
fullscreen,מסך מלא
Add a comment,הוסף תגובה
"If your data is in HTML, please copy paste the exact HTML code with the tags.","אם הנתונים שלך נמצאים ב- HTML, אנא העתק והדבק את קוד ה- HTML המדויק עם התגיות."
Address Type,סוג הכתובת
Document,מסמך
Liked,אהבתי
More Information,מידע נוסף
Last Modified On,שונה לאחרונה ב-
Row,שורה
Link DocType,DOCTYPE קישור
Is Active,האם פעיל
No,לא
You are not allowed to print this document,"אין באפשרותך להדפיס את המסמך הזה,"
Communication Type,סוג התקשורת
Update,עדכן
Default for 'Check' type of field must be either '0' or '1',ברירת מחדל עבור סוג השדה 'בדוק' חייבת להיות או '0' או '1'
Submitted Document cannot be converted back to draft. Transition row {0},לא ניתן להמיר מסמך שהוגש חזרה לטיוטה. שורת מעבר {0}
Field Name,שם שדה
"If disabled, this role will be removed from all users.","אם מושבת, התפקיד הזה יוסר מכל המשתמשים."
Fold can not be at the end of the form,Fold לא יכול להיות בסופו של הטופס
"Repeats like ""abcabcabc"" are only slightly harder to guess than ""abc""",קצת יותר קשה לנחש חזרות כמו 'abcabcabc' מאשר 'ABC'
Blog Intro,הקדמה לבלוג
Thursday,יום חמישי
remove-circle,הסר עיגול
Cancel,בטל
Open,פתח
Remove Section,הסר מקטע
Define workflows for forms.,הגדר זרימות עבודה לטפסים.
Assigned By Me,הוקצה על ידי
About,אודות
Integrations can use this field to set email delivery status,שילוב יכול לשמש בשדה זה כדי להגדיר מצב משלוח הדואר האלקטרוני
Login After,התחבר אחרי
bell,פעמון
Please save the Newsletter before sending,אנא שמור את הניוזלטר לפני שתשלח
Workflow Document State,מצב זרימת העבודה במסמך
Reference DocName,שם המסמך המאוזכר
Start,התחל
Login to comment,התחבר כדי להגיב
Right,ימין
"Setup of top navigation bar, footer and logo.","התקנה של סרגל ניווט העליון, כותרת תחתונה ולוגו."
lock,נעל
Reference DocType and Reference Name are required,התייחסות DOCTYPE ושם הפניה נדרשים
This feature is brand new and still experimental,מאפיין זה הוא חדש ועדיין ניסיוני
One Last Step,שלב אחד אחרון
{0} must be unique,{0} חייב להיות ייחודי
Website Script,סקריפט האתר
No records tagged.,מספר רשומות מתויגות.
Is Primary Contact,האם איש קשר ראשי
Private and public Notes.,הערות פרטיות וציבוריות.
This Currency is disabled. Enable to use in transactions,מטבע זה אינו זמין. אפשר כדי להשתמש בו בעסקאות
Half-yearly,חצי שנתי
Refresh,רענן
Print Settings,הגדרות הדפסה
You are not allowed to delete a standard Website Theme,אין לך הרשאות למחוק את נושא אתר הסטנדרטי
No of Columns,מספר העמודות
play,לשחק
Reference Type,סוג ההתייחסות
The system provides many pre-defined roles. You can add new roles to set finer permissions.,המערכת מספקת מספר רב של תפקידים מוגדרים מראש. אתה יכול להוסיף תפקידים חדשים כדי להגדיר הרשאות מדויקות יותר.
Value for {0} cannot be a list,ערך של {0} לא יכול להיות רשימה
music,מוסיקה
Allow Google Drive Access,אפשר גישה ל- Google Drive
Not Set,לא הוגדר
Please set filters,אנא הגדר מסננים
Code,קוד
fast-forward,הקפץ קדימה
share,שתף
This link is invalid or expired. Please make sure you have pasted correctly.,קישור זה אינו חוקי או שפג תוקפו. אנא ודא שהדבקת אותו בצורה נכונה.
Avatar,אווטאר
Parent Table,טבלת האם
Select records for assignment,בחר רשומות למשימה
Shared with everyone,משותף עם כולם
Updating,מעדכן
Sorry! You are not permitted to view this page.,מצטערים! אינך רשאי לצפות בדף זה.
Not a valid Comma Separated Value (CSV File),הפרדת פסיקים לא חוקית (קובץ CSV)
Insert Below,הכנס להלן
This email was sent to {0},ההודעה הזו נשלחה ל {0}
briefcase,תיק
Gateway,ספק
Insert Style,הכנס סגנון
adjust,התאם
View Subscribers,הצג מנויים
This document is currently queued for execution. Please try again,מסמך זה נמצא כרגע בתור לביצוע. אנא נסה שנית
Message Parameter,פרמטר להודעה
Make Default,הפוך לברירת מחדל
Style,סגנון
{0} comments,{0} הערות
Session Expiry Mobile,תפוגת זמן פעולה לנייד
City,עיר
Google,גוגל
"Fields separated by comma (,) will be included in the ""Search By"" list of Search dialog box","שדות מופרדים על ידי פסיק (,) ייכללו ברשימת 'חפש לפי' של תיבת הדו-שיח של החיפוש"
Thumbnail URL,כתובת תמונה ממוזערת
fire,אש
Did not remove,לא הוסר
Subsidiary,חברת בת
"SQL Conditions. Example: status=""Open""",תנאי SQL. לדוגמה: מצב = 'פתח'
Role Name,שם תפקיד
Pincode,קודסודי
Default,ברירת מחדל
Address Line 2,שורת כתובת 2
hand-up,יד פונה כלפי מעלה
List of patches executed,רשימה של תיקונים שבוצעו
query-report,דיווח על שאילתה
Report Builder,בונה הדוחות
Log of Scheduler Errors,יומן השגיאות על פי זמנים
Search field {0} is not valid,שדה חיפוש {0} אינו חוקי
Type,סוג
th-list,th-list
{0} is required,{0} נדרש
DocType on which this Workflow is applicable.,DOCTYPE שבו זרימת העבודה ישימה.
Email Server,שרת דואר אלקטרוני
Preferred Billing Address,כתובת מועדפת לתשלום
Activity log of all users.,יומן הפעילות של כל המשתמשים.
Error: Document has been modified after you have opened it,שגיאה: המסמך השתנה לאחר שפתחת אותו
Recipients,נמענים
Introduce your company to the website visitor.,הצג את החברה שלך למבקר באתר.
Int,Int
Page missing or moved,דף חסר או עבר
Create,צור
Read Only,לקריאה בלבד
Recipient,נמען
Root {0} cannot be deleted,לא ניתן למחוק את שורש {0}
Full Page,דף מלא
ok-circle,מעגל עם O.K
Editable Grid,רשת לעריכה
"<h4>Default Template</h4> <p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p> <pre><code>{{ address_line1 }}&lt;br&gt; {% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%} {{ city }}&lt;br&gt; {% if state %}{{ state }}&lt;br&gt;{% endif -%} {% if pincode %} PIN: {{ pincode }}&lt;br&gt;{% endif -%} {{ country }}&lt;br&gt; {% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%} {% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%} {% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%} </code></pre>","'תבנית ברירת מחדל' 'שימושים' 'a href='http://jinja.pocoo.org/docs/templates/' בניית תבניות ג'ינג'ה וכל שדות הכתובת (כולל שדות מותאמים אישית אם ישנם) יהיו זמינים 'pre' 'code' {{address_line1}} & lt; br & gt; {% אם address_line2%} {{}} address_line2 & lt; br & gt; {% endif -%} {{העיר}} & lt; br & gt; {% אם% מדינת} {{המדינה}} & lt; br & gt; {% endif -%} {% אם% pincode} PIN: {{pincode}} & lt; br & gt; {% endif -%} {{ארץ}} & lt ; Br & gt; {% אם% טלפון} טלפון: {{טלפון}} & lt; br & gt; {% endif -%} {% אם פקס%} פקס: {{פקס}} & lt; br & gt; {% endif -%} {% אם email_id % דוא""ל}: {{}} email_id & lt; br & gt; {endif% -%} </ code> </ pre>"
Add Child,הוסף תת-ישות
Equals,שווה ל
arrow-right,חץ פונה לימין
Writers Introduction,הקדמה לכותבים
Sales Master Manager,מנהל המכירות
Show more details,הצג פרטים נוספים
Address and Contacts,כתובת ומגעים
New,חדש
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","כשיטת עבודה מומלצת, אל תקצה מערך הרשאות זהה לבעלי תפקידים שונים. במקום זאת, הגדר תפקידים מרובים למשתמש אחד."
(Ctrl + G),(Ctrl + G)
Set non-standard precision for a Float or Currency field,הגדר דיוק לא סטנדרטי לשדה נקודה צפה או לשדה המטבע
System,מערכת
cog,שן
Description,תיאור
Invalid file path: {0},נתיב קובץ לא חוקי: {0}
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)","קישור שהוא דף הבית של האתר. קישורים רגילים (אינדקס, התחברות, מוצרים, בלוג, אודות, יצירת קשר)"
Response,תגובה
Title Prefix,קידומת לכותרת
Assigned To,מוקצה ל
Integrations,שילובים
Idx,IDX
{0} List,{0} רשימה
Record does not exist,רשומה לא קיימת במערכת
Communicated via {0} on {1}: {2},הועבר דרך {0} ב-{1}: {2}
About Us Settings,הגדרת מי אנחנו
Fraction,חלק
Banner Image,תמונת באנר
forward,קדימה
Cent,סנט
download-alt,סמליל הורדה
"Newsletters to contacts, leads.","ניוזלטרים לאנשי הקשר, לידים."
Date and Number Format,פורמט התאריך והמספר
Background Color,צבע רקע
Note,הערה
Cannot change state of Cancelled Document. Transition row {0},לא ניתן לשנות את המצב של מסמך שבוטל. שורת מעבר {0}
Valid Login id required.,נדרש מזהה התחברות חוקי.
Updated,עודכן
exclamation-sign,סימן קריאה
SMS Parameter,פרמטר SMS
This is an automatically generated reply,זוהי תשובה שנוצרה באופן אוטומטי
Setup Complete,ההתקנה הסתיימה
warning-sign,סימן אזהרה
Exception,חריגה
Timeline field must be a valid fieldname,שדה ציר הזמן חייב להיות בעל שם שדה תקף
Start entering data below this line,התחל בהזנת נתונים מתחת לקו זה
Defaults,ברירות מחדל
Address Title,כותרת הכתובת
Half Day,חצי יום
Rename many items by uploading a .csv file.,שנה פריטים רבים על ידי העלאת קובץ csv.
volume-up,העלה כמות
Web Page,דף האינטרנט
Newsletter,ניוזלטר
DocType,DOCTYPE
Add / Manage Email Accounts.,הוסף / נהל חשבונות דואר אלקטרוני.
"The task {0}, that you assigned to {1}, has been closed.","המשימה {0}, שהקצת ל-{1}, נסגרה."
PDF Page Size,גודל דף ה-PDF
Group Node,ישות מסוג קבוצה
Web Site,אתר אינטרנט
Info:,מידע:
You can find things by asking 'find orange in customers',אתה יכול למצוא דברים בשאלה 'מצא כתום בלקוחות'
Blocked,חסום
Add fields to forms.,הוסף שדות לטפסים.
Template,תבנית
ID (name) of the entity whose property is to be set,מזהה (שם) של הישות שמאפייניו עומדים להיות מוגדרים
Outlook.com,Outlook.com
System Manager,מנהל מערכת
Complete Setup,ההתקנה הסתיימה
Smallest Currency Fraction Value,ערך חלק המטבע הקטן ביותר
Comments,תגובות
There were errors,התרחשו מספר שגיאות
Ctrl + Up,Ctrl + Up
Pick Columns,בחר עמודות
mm/dd/yyyy,mm/dd/yyyy
Have an account? Login,בעל חשבון? התחבר
Errors in Background Events,שגיאות ברקע
{0} added,{0} נוסף
Field Type,סוג שדה
My Settings,ההגדרות שלי
Next,הבא
Name Case,שם התיק
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")","עזרה: על מנת לקשר לרשומה נוספת במערכת, השתמש ב'# טופס / הערה / [שם הערה]' ככתובת ה-URL של הקישור. (אין צורך להשתמש ב-'http: //')"
Row {0}: Not allowed to enable Allow on Submit for standard fields,שורה {0}: אין הרשאה לאפשר אפשר הגשה לשדות סטנדרטיים
Tuesday,יום שלישי
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},אימות נכשל בזמן שהתקבל הודעות דואר אלקטרוני מהחשבון {0}. הודעה מהשרת: {1}
Enable Incoming,אפשר הודעות נכנסות
Create a New Format,צור פורמט חדש
Precision should be between 1 and 6,Precision צריך להיות בין 1 ל 6
Other,אחר
and,ו
Rename {0},שנה שם {0}
{0} {1}: Submitted Record cannot be deleted.,{0} {1}: לא ניתן למחוק רשומה שהוגשה.
Preferred Shipping Address,כתובת מועדפת למשלוח
"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.","אם אתה מעדכן, אנא בחר באפשרות 'החלף' אחרת שורות קיימות לא תימחקנה."
Re: {0},Re: {0}
Oops! Something went wrong,אופס! משהו השתבש
Timestamp,חותמת זמן
"{0} {1} does not exist, select a new target to merge","{0} {1} לא קיים, בחר יעד חדש למזג"
dd/mm/yyyy,dd/mm/yyyy
Roles Assigned,תפקידים שהוקצו
Share this document with,שתף מסמך זה עם
Success URL,URL מוצלח
New {0},חדש {0}
Content web page.,תוכן דף האינטרנט.
Append To,הוסף ל
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","כל מצבי זרימת העבודה האפשריים והתפקידים בזרימת העבודה. אפשרויות מצב המסמך: 0 משמעותו 'נשמר', 1 משמעותו 'נשלח' ו-2 משמעותו 'בוטל'"
Optional: The alert will be sent if this expression is true,אופציונלי: ההתראה תישלח אם ביטוי זה נכון
User Image,תמונת המשתמש
Salutation,דברי ברכה
Leave blank to repeat always,השאר ריק כדי לחזור תמיד
Complete,השלם
Attachment Removed,הצרופה הוסרה
Administrator accessed {0} on {1} via IP Address {2}.,מנהל ניגש ל-{0} ב-{1} באמצעות כתובת IP {2}.
Ignore attachments over this size,התעלם מקבצים מצורפים מעל הגודל הזה
Edit Custom HTML,ערוך HTML מותאם אישית
&lt;head&gt; HTML,'כותרת' HTML
Notifications and bulk mails will be sent from this outgoing server.,הודעות ומיילים בתפוצה רחבה יישלחוה מהשרת דואר יוצא זה.
Disable Customer Signup link in Login page,השבת קישור הרשמה ללקוחות בדף כניסה
Likes,אוהב
Float,נקודה צפה
Document Types,סוגי מסמכים
Custom HTML,המותאם אישית HTML
Document States,מצב המסמך
Mandatory fields required in {0},שדות חובה נדרשים ב-{0}
View Website,הצג אתר
Event Type,סוג האירוע
Browse,חפש ב
Column Labels:,תוויות עמודה:
Rich Text,טקסט עשיר
Messages,הודעות
Sub-domain provided by erpnext.com,תת תחום הניתן על ידי erpnext.com
Users,משתמשים
"Enter keys to enable login via Facebook, Google, GitHub.","הזן סיסמה כדי לאפשר התחברות באמצעות פייסבוק, גוגל, GitHub."
{0}: Cannot set Amend without Cancel,{0}: לא ניתן להגדיר תיקון ללא ביטול
Submitted,הוגש
Footer,כותרת תחתונה
clear,נקה
Send Email Print Attachments as PDF (Recommended),שלח קבצים מצורפים מודפסים של הדואר האלקטרוני כקובץ PDF (מומלץ)
Address,כתובת
Save As,שמור כ
Auto Name,שם אוטומטי
Home/Test Folder 1,דף בית/תיקיית ניסיון 1
Search Fields,חפש שדות
Session Expiry in Hours e.g. 06:00,"תפוגת זמן פעולה בשעות, לדוגמה 6:00"
by Role,על ידי בעל התפקיד
File Size,גודל קובץ
Options for select. Each option on a new line.,אפשרויות לבחירה. כל אפשרות בשורה חדשה.
Unable to load: {0},לא ניתן לטעון: {0}
Document Status,סטטוס המסמך
trash,אשפה
Unknown Column: {0},טור לא ידוע: {0}
Report cannot be set for Single types,לא ניתן להגדיר דווח לסוגים יחיד
Show Tags,הצג תגיות
Name of the new Print Format,שמו של פורמט ההדפסה החדש
Email Signature,חתימת הדואר האלקטרוני
Please select DocType first,אנא בחר DOCTYPE
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","קידוד קובץ לא ידוע. , חלונות-1250, חלונות-1252 utf-8 נבדק."
Time,זמן
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,אינך במצב מפתחים! הגדר כ-site_config.json או צור DOCTYPE 'מותאם אישית'.
Get your globally recognized avatar from Gravatar.com,קבל את האווטאר שלך המזוהה בכל העולם מGravatar.com
Already in user's To Do list,כבר נמצא ברשימת המטלות של המשתמש
Select an image of approx width 150px with a transparent background for best results.,בחר תמונה בעלת רוחב של כ-150 פיקסלים עם רקע שקוף כדי לקבל את התוצאות הטובות ביותר.
{0}: Cannot set Assign Submit if not Submittable,{0}: לא ניתן להגדיר הגשת הקצאה אם היא אינה ניתנת להגשה
User Tags,תגיות משתמש
Permitted Documents For User,מסמכים המותרים למשתמש
Parent,מקור
Restrict IP,מוגבל IP
SMS Settings,הגדרות SMS
Visit,בקר
Must have report permission to access this report.,אתה חייב להיות בעל הרשאת דוחות על מנת לגשת לדוח זה.
Disabled,מושבת
No Permissions set for this criteria.,אין הרשאות שהוגדרו לקריטריונים אלו.
Frames,מסגרות
All Day,כל היום
Desktop,שולחן העבודה
Org History Heading,כותרת לתולדות הארגון
Enable,אפשר
Name,שם
Will be used in url (usually first name).,ישמש לכתובת האתר (לרוב השם הפרטי).
Image View,תצוגת התמונה
Successful: {0} to {1},מוצלח: {0} {1}
Avoid dates and years that are associated with you.,הימנע מתאריכים ושנים הקשורות אליך.
folder-close,סגור תיקייה
Enter url parameter for receiver nos,הזן פרמטר כתובות למספרי הנמענים
{0} Name,{0} שם
Recipient Unsubscribed,נמען לא רשום
Show Title,הצג כותרת
Edit Title,ערוך כותרת
Last Known Versions,גרסאות ידועות אחרונות
plus,פלוס
Starts on,מתחיל ב
Security Settings,הגדרות אבטחה
{0} cannot be set for Single types,לא ניתן להגדיר את {0} עבור סוגים בודדים
1 comment,1 תגובה
Let's avoid repeated words and characters,הימנע ממילים ותווים חוזרים
Reference Date,תאריך התייחסות
Version,גרסה
Reset,אתחל
Mute Sounds,השתק צלילים
Select DocType,DOCTYPE בחר
{0} not allowed to be renamed,לא ניתן לשנות את השם של {0}
System Settings,הגדרות מערכת cadan ojalvo
Capitalization doesn't help very much.,שימוש באותיות גדולות לא מועיל ביותר.
Sales User,משתמש מכירות
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],קובץ סמל עם .ico הרחבת. צריך להיות 16 x 16. פיקסלים. נוצר באמצעות מחולל favicon. [Favicon-generator.org]
Username,שם משתמש
resize-horizontal,שנה את הגודל האופקי
"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: לא ניתן להגדיר שליחה, ביטול, תיקון ללא כתיבה"
Not allowed to print cancelled documents,לא ניתן להדפיס מסמכים שבוטלו
Async Task,משימה לא מסונכרנת
Website Settings,הגדרות אתר
Names and surnames by themselves are easy to guess.,קל לנחש שמות ושמות משפחה ללא תוספת.
Remove all customizations?,להסיר את כל ההתאמות האישיות?
Link,קישור
Cannot open {0} when its instance is open,לא ניתן לפתוח את {0} כאשר הוא פתוח
Workflow Action Name,שם הפעולה בזרימת העבודה
Unsubscribed,רישום בוטל
Help on Search,עזרה בחיפוש
Forward To Email Address,העבר לכתובת הדואר האלקטרוני
"{0} field cannot be set as unique in {1}, as there are non-unique existing values","השדה {0} לא יכול להיות מוגדר כייחודי ב-{1}, שכיוון שכבר ישנם ערכים שאינם ייחודיים בתוכו"
Type:,סוג:
facetime-video,וידאו בזמן אמת
The First User: You,המשתמש הראשון: אתה
Designation,ייעוד
Filter {0} missing,מסנן {0} חסר
ok,OK
Not Published,לא פורסם
Custom CSS,CSS מותאם אישית
retweet,צייץ מחדש
Is Default,האם ברירת מחדל
This is a top-100 common password.,זוהי אחת מ-100 הסיסמאות הנפוצות ביותר
Select Print Format,פורמט הדפסה בחר
Bio,ביו
Collapsible Depends On,Collapsible התלוי ב
You need to be logged in and have System Manager Role to be able to access backups.,אתה צריך להיות מחובר ולהיות בתפקיד מנהל מערכת על מנת שתוכל לגשת לגיבויים.
This is similar to a commonly used password.,סיסמה זו דומה לסיסמה נפוצה אחרת.
Enabled,מופעל
Text,טקסט
No Copy,לא העתק
Content Hash,Hash תוכן
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - טיוטה; 1 - הוגש; 2 - בוטל
Session Expiry must be in format {0},תפוגת זמן הפעותה חייבת להיות בפורמט {0}
"Oops, you are not allowed to know that","אופס, אינך רשאי לדעת זאת"
Script Report,דוח סקריפט
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,הוסף: Protip <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> על מנת לשלוח התייחסות למסמך
Time Zone,אזור זמן
headphones,אוזניות
There can be only one Fold in a form,לא יכול להיות רק אחד Fold בטופס
Property Type,סוג המאפיין
Add Filter,הוסף מסנן
Small Text,טקסט קטן
All-uppercase is almost as easy to guess as all-lowercase.,קל לנחש אותיות גדולות בדיוק כמו אותיות קטנות.
signal,סימן
A new account has been created for you at {0},חשבון חדש נוצר עבורך ב-{0}
Table {0} cannot be empty,טבלה {0} לא יכולה להיות ריקה
For {0} at level {1} in {2} in row {3},עבור {0} ברמה {1} {2} בשורה {3}
New Email,הודעה חדשה
GitHub,GitHub
use % as wildcard,השתמש ב-% כתו חופשי
User '{0}' already has the role '{1}',המשתמש '{0}' הוא כבר בעל התפקיד '{1}'
Login Required,נדרשת כניסה לחשבון
Amended From,תוקן מ
Left this conversation,עזוב את השיחה הזאת
Google Drive,Google Drive
Value,ערך
Middle Name (Optional),שם אמצעי (אופציונאלי)
** Failed: {0} to {1}: {2},** נכשל: {0} ל-{1}: {2}
Is Attachments Folder,האם תיקיית קבצים מצורפים
Period,תקופה
Bot,בוט
Change,שנה
Value Change,הערך השתנה
Reference DocType,DOCTYPE התייחסות
No comments yet,עדיין אין תגובות
Default Sending and Inbox,ברירת מחדל לשליחה ולתיבת הדואר הנכנס
Currency,מטבע
indent-left,הזחה לשמאל
Send Print as PDF,שלח הדפסה כקובץ PDF
Sidebar Items,פריטים בסרגל הצידי
Add Total Row,הוסף שורת סך כולל
Thank you for your email,תודה על ההודעה שלך
thumbs-up,אגודלים מורמים
Only Administrator can save a standard report. Please rename and save.,רק מנהל מערכת יכול לשמור דוח סטנדרטי. אנא שנה שם ושמור.
Icon will appear on the button,סמל יופיע על הכפתור
Settings for About Us Page.,הגדרות עבור הדף מי אנחנו.
Files,קבצים
Added {0} ({1}),נוסף {0} ({1})
question-sign,סימן שאלה
My Account,החשבון שלי
Beta,בטא
Permanently delete {0}?,למחוק לצמיתות את {0}?
{0} {1} cannot be a leaf node as it has children,{0} {1} לא יכול להיות ישות קצה כיוון שיש לו תת-ישות
Background Email Queue,תור רקע לדואר האלקטרוני
Merge with existing,מזג עם מודל קיים
Click on the link below to complete your registration and set a new password,לחץ על הקישור הבא כדי להשלים את הרישום שלך ולהגדיר סיסמה חדשה
Send After,שלח לאחר
Monday,יום שני
e.g. pop.gmail.com / imap.gmail.com,למשל pop.gmail.com / imap.gmail.com
Email Queue,תור בדואר האלקטרוני
Category Name,שם הקטגוריה
Doc Status,סטטוס המסמך
Click here to verify,לחץ כאן כדי לאמת
Did not find {0} for {0} ({1}),לא נמצא {0} עבור {0} ({1})
Please ensure that your profile has an email address,ודא שיש בפרופיל שלך כתובת דואר אלקטרוני
Unique,ייחודי
Guest,אורח
Assign,הקצה
Reopen,פתח מחדש
Example,דוגמה
Row #{0}:,# שורה {0}:
Transitions,מעברים
align-left,יישור טקסט לשמאל
Find {0} in {1},מצא את {0} ב {1}
Comments and Communications will be associated with this linked document,תגובות והעברות ישוייכו עם מסמך מקושר זה
certificate,אישור
Posts by {0},פורסם בידי {0}
Print Format {0} is disabled,פורמט ההדפסה {0} אינו זמין
{0} or {1},{0} או {1}
Cannot Update: Incorrect / Expired Link.,לא ניתן לעדכן: קישור שגוי / קישור שפג תוקפו.
Emails are muted,הודעות מושתקות
List,רשימה
Module Name,שם מודול
backward,אחורה
Cannot link cancelled document: {0},אינך יכול לקשר מסמך שבוטל: {0}
Standard Print Format cannot be updated,לא ניתן לעדכן פורמט הדפסה סטנדרטי
Green,ירוק
Invalid CSV Format,פורמט CSV לא חוקי
Naming Series mandatory,שמות סדרת חובה
Enter Value,הזן ערך
Attach Print,צרף הדפסה
Send Now,שלח עכשיו
Reference Doc,מסמך התייחסות
DocType can not be merged,לא ניתן למזג DOCTYPE
ToDo,רשימת מטלות
Days Before,מספר ימים לפני
Wednesday,יום רביעי
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","הרשאות ברמה 0 הן הרשאות לרמת המסמך, כלומר הם בעיקר מאפשרים גישה למסמכים."
Allow Edit,אפשר עריכה
Blog Post,פוסט בבלוג
Not equals,לא שווה
Draft,טיוטה
New Password,סיסמה חדשה
th,th
Precision,רמת דיוק
DocPerm,הרשאות מסמכים
Seen,נראה
leaf,ישות קצה
Dynamic Link,קישור דינמי
New Folder,תיקיה חדשה
file,קובץ
Document Type,סוג המסמך
Use this fieldname to generate title,השתמש בשם שדה זה על מנת ליצור כותרת
Subject,נושא
Add A New Rule,הוסף חוק חדש
Column Break,מעבר עמודה
All customizations will be removed. Please confirm.,כל ההתאמות האישיות יוסרו. אנא אשר זאת.
step-forward,העבר קדימה
County,מחוז
new type of document,סוג חדש של מסמך
Set Permissions on Document Types and Roles,הגדרת הרשאות על סוגי מסמכים ותפקידים
